object-id,title,identifier
hjccc-129,Bottom of Sometsuke Botan Dobin (teapot with hand-painted peonies in cobalt),AACC-2018-001_4of4
hjccc-124,Top of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_1of3
hjccc-124,Bottom of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_2of3
hjccc-124,Side of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_3of3
hjccc-120,Top of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_1of3
hjccc-120,Bottom of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_2of3
hjccc-120,Side of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_3of3
hjccc-116,Side of Saka-Bin (sake bottle) [1],AACC-94-082_1of2
hjccc-116,Bottom of Saka-Bin (sake bottle) [1],AACC-94-082_2of2
hjccc-113,Side of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_1of3
hjccc-113,Top of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_2of3
hjccc-113,Bottom of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_3of3
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_1of4
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_2of4
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_3of4
hjccc-147,Top of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_4of4
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_1of3
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_2of3
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_3of3
hjccc-105,Side of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_1of3
hjccc-105,Top of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_2of3
hjccc-105,Bottom of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_3of3
hjccc-101,Side of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_1of3
hjccc-101,Side of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_2of3
hjccc-101,Bottom of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_3of3
hjccc-97,Top of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_1of3
hjccc-97,Bottom of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_2of3
hjccc-97,Side of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_3of3
hjccc-93,Side of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_1of3
hjccc-93,Side of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_2of3
hjccc-93,Bottom of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_3of3
hjccc-89,Side of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_1of4
hjccc-89,Side of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_2of4
hjccc-89,Top of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_3of4
hjccc-89,Bottom of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_4of4
hjccc-84,Side of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_1of3
hjccc-84,Side of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_2of3
hjccc-84,Bottom of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_3of3
hjccc-142,Sometsuke Senbori Gohan Jawan (rice/soup bowl with hand-painted cobalt and carved lines),AACC-MIN-98-22_1of1
hjccc-80,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_1of4
hjccc-80,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_2of4
hjccc-80,Top of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_3of4
hjccc-80,Bottom of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_4of4
hjccc-75,Side of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_1of3
hjccc-75,Side fo Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_2of3
hjccc-75,Bottom of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_3of3
hjccc-71,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_1of3
hjccc-71,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_2of3
hjccc-71,Base of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_3of3
hjccc-67,Side of Suribachi (grinding bowl) [2],ACC-93-010_1of3
hjccc-67,Top of Suribachi (grinding bowl) [2],ACC-93-010_2of3
hjccc-67,Bottom of Suribachi (grinding bowl) [2],ACC-93-010_3of3
